Sate	Abbr	Median_Income
Alabama	AL	$47,221 
Arizona	AZ	$57,100 
Arkansas	AR	$45,907 
California	CA	$66,637 
Colorado	CO	$70,566 
Connecticut	CT	$75,923 
Delaware	DE	$58,046 
D.C.		$70,982 
Florida	FL	$51,176 
Georgia	GA	$53,527 
Hawaii	HI	$72,133 
Idaho	ID	$56,564 
Illinois	IL	$61,386 
Indiana	IN	$56,094 
Iowa	IA	$59,094 
Kansas	KS	$56,810 
Kentucky	KY	$45,369 
Louisiana	LA	$42,196 
Maine	ME	$50,856 
Maryland	MD	$73,760 
Massachusetts	MA	$72,266 
Michigan	MI	$57,091 
Minnesota	MN	$70,218 
Mississippi	MS	$41,099 
Missouri	MO	$55,016 
Montana	MT	$57,075 
Nebraska	NE	$59,374 
Nevada	NV	$55,431 
New Hampshire	NH	$76,260 
New Jersey	NJ	$68,468 
New Mexico	NM	$48,451 
New York	NY	$61,437 
North Carolina	NC	$53,764 
North Dakota	ND	$60,184 
Ohio	OH	$53,985 
Oklahoma	OK	$50,943 
Oregon	OR	$59,135 
Pennsylvania	PA	$60,979 
Rhode Island	RI	$61,528 
South Carolina	SC	$54,336 
South Dakota	SD	$57,450 
Tennessee	TN	$51,344 
Texas	TX	$58,146 
Utah	UT	$67,481 
Vermont	VT	$60,837 
Virginia	VA	$66,451 
Washington	WA	$70,310 
West Virginia	WV	$44,354 
Wisconsin	WI	$59,817 
Wyoming	WY	$57,829 
